season,week,team,side,plays,successes,sr,epa_per_play
2025,2,DET,def,27,13,0.481481,0.028824413
2025,2,DET,off,30,22,0.733333,0.58878225
2025,2,GB,def,23,11,0.478261,-0.080866404
2025,2,GB,off,29,16,0.551724,0.21716562
2025,2,HOU,def,31,18,0.580645,0.0290644
2025,2,HOU,off,19,9,0.473684,-0.019813064
2025,2,IND,def,26,13,0.5,0.09912173
2025,2,IND,off,31,20,0.645161,0.5034551
2025,2,JAX,def,30,15,0.5,0.14738092
2025,2,JAX,off,30,16,0.533333,0.11790465
2025,2,KC,def,23,11,0.478261,-0.00543043
2025,2,KC,off,24,13,0.541667,0.20701917
2025,2,LA,def,26,15,0.576923,0.027303394
2025,2,LA,off,28,15,0.535714,0.14813618
2025,2,LAC,def,25,12,0.48,-0.28875574
2025,2,LAC,off,22,12,0.545455,-0.4385709
2025,2,LV,def,22,12,0.545455,-0.4385709
2025,2,LV,off,25,12,0.48,-0.28875574
2025,2,MIA,def,22,10,0.454545,0.12423169
2025,2,MIA,off,22,13,0.590909,0.096989505
2025,2,MIN,def,27,18,0.666667,-0.03239884
2025,2,MIN,off,19,8,0.421053,-0.72167283
2025,2,NE,def,22,13,0.590909,0.096989505
2025,2,NE,off,22,10,0.454545,0.12423169
2025,2,NO,def,29,17,0.586207,-0.18377928
2025,2,NO,off,29,15,0.517241,-0.14309368
2025,2,NYG,def,39,18,0.461538,-0.0052626696
2025,2,NYG,off,29,18,0.62069,0.56111604
2025,2,NYJ,def,29,16,0.551724,0.070202425
2025,2,NYJ,off,20,11,0.55,-0.19389135
2025,2,PHI,def,24,13,0.541667,0.20701917
2025,2,PHI,off,23,11,0.478261,-0.00543043
2025,2,PIT,def,29,14,0.482759,0.10856622
2025,2,PIT,off,23,11,0.478261,0.047849268
2025,2,SEA,def,23,11,0.478261,0.047849268
2025,2,SEA,off,29,14,0.482759,0.10856622
2025,2,SF,def,29,15,0.517241,-0.14309368
2025,2,SF,off,29,17,0.586207,-0.18377928
2025,2,TB,def,19,9,0.473684,-0.019813064
2025,2,TB,off,31,18,0.580645,0.0290644
2025,2,TEN,def,28,15,0.535714,0.14813618
2025,2,TEN,off,26,15,0.576923,0.027303394
2025,2,WAS,def,29,16,0.551724,0.21716562
2025,2,WAS,off,23,11,0.478261,-0.080866404
2025,3,BUF,def,24,10,0.416667,-0.2976582
2025,3,BUF,off,27,14,0.518519,0.08803133
2025,3,MIA,def,27,14,0.518519,0.08803133
2025,3,MIA,off,24,10,0.416667,-0.2976582
