team,side,games,plays,penalties,penalties_pg,penalty_yds,penalty_yds_pg,pen_per_100_plays,pen_per_100_plays_w,presnap_pen_rate,presnap_pen_rate_w,rz_pen_rate,rz_pen_rate_w,third_fourth_pen,third_fourth_pen_pg,auto_fd_allowed,def_auto_fd_allowed_pg,dpi_yds,def_dpi_yds_pg
HOU,off,17,1406,115.0,6.764705882352941,1866.0,109.76470588235294,8.07085629203903,8.17923186344239,0.03589540288317609,0.03627311522048364,0.015854815433212918,0.015647226173541962,53.0,3.1176470588235294,22.0,1.2941176470588236,122.0,7.176470588235294
IND,def,17,1450,96.0,5.647058823529412,978.0,57.529411764705884,6.6230487604957355,6.620689655172414,0.030977706358208682,0.03103448275862069,0.012440860029912739,0.012413793103448275,29.0,1.7058823529411764,24.0,1.411764705882353,61.0,3.588235294117647
IND,off,17,1376,88.0,5.176470588235294,1348.0,79.29411764705883,6.497698450698309,6.395348837209302,0.025153276214616986,0.024709302325581394,0.008054282941470304,0.007994186046511628,27.0,1.588235294117647,24.0,1.411764705882353,225.0,13.235294117647058
JAX,def,17,1476,122.0,7.176470588235294,1512.0,88.94117647058823,8.31339167744466,8.265582655826558,0.03494007407233264,0.034552845528455285,0.014226498296913808,0.014227642276422764,41.0,2.411764705882353,33.0,1.9411764705882353,170.0,10.0
JAX,off,17,1305,82.0,4.823529411764706,1191.0,70.05882352941177,6.188626483804509,6.283524904214559,0.03267927256698659,0.03295019157088123,0.012306989610166857,0.013026819923371647,25.0,1.4705882352941178,18.0,1.0588235294117647,105.0,6.176470588235294
KC,def,17,1355,106.0,6.235294117647059,1366.0,80.3529411764706,7.864709462985992,7.822878228782288,0.031136413228888864,0.03099630996309963,0.008524413301577313,0.008856088560885609,40.0,2.3529411764705883,25.0,1.4705882352941178,148.0,8.705882352941176
KC,off,17,1405,95.0,5.588235294117647,1325.0,77.94117647058823,6.88263262142725,6.761565836298932,0.0197886523772914,0.019217081850533807,0.016100142382526814,0.016370106761565837,27.0,1.588235294117647,25.0,1.4705882352941178,156.0,9.176470588235293
LAC,def,17,1372,104.0,6.117647058823529,1308.0,76.94117647058823,7.61933421382008,7.580174927113703,0.026041879675438695,0.025510204081632654,0.012160559398583718,0.013119533527696793,29.0,1.7058823529411764,33.0,1.9411764705882353,82.0,4.823529411764706
LAC,off,17,1352,93.0,5.470588235294118,1257.0,73.94117647058823,6.915945942782893,6.878698224852071,0.027479746960519563,0.026627218934911243,0.011796179237166918,0.01257396449704142,32.0,1.8823529411764706,30.0,1.7647058823529411,158.0,9.294117647058824
LAR,def,17,1396,112.0,6.588235294117647,1342.0,78.94117647058823,7.8663873684757615,8.022922636103152,0.03183791848507414,0.032234957020057305,0.01310920434584637,0.013610315186246419,39.0,2.2941176470588234,29.0,1.7058823529411764,121.0,7.117647058823529
LAR,off,17,1355,92.0,5.411764705882353,1158.0,68.11764705882354,6.726650953482163,6.789667896678967,0.020651958120581265,0.020664206642066422,0.01554661671034399,0.016236162361623615,29.0,1.7058823529411764,31.0,1.8235294117647058,240.0,14.117647058823529
LV,def,17,1422,116.0,6.823529411764706,1377.0,81.0,8.147801577596164,8.157524613220815,0.03456916014506541,0.034458509142053444,0.011501844563924087,0.011954992967651195,42.0,2.4705882352941178,27.0,1.588235294117647,136.0,8.0
LV,off,17,1403,97.0,5.705882352941177,1548.0,91.05882352941177,6.8411145114261345,6.9137562366357805,0.02152138983855657,0.022095509622238062,0.008356073534803835,0.008553100498930863,32.0,1.8823529411764706,23.0,1.3529411764705883,156.0,9.176470588235293
MIA,def,17,1360,116.0,6.823529411764706,1455.0,85.58823529411765,8.384655152810971,8.529411764705882,0.0349351687087378,0.03529411764705882,0.013735285824191062,0.013970588235294118,43.0,2.5294117647058822,27.0,1.588235294117647,97.0,5.705882352941177
MIA,off,17,1408,123.0,7.235294117647059,1720.0,101.17647058823529,8.736868661476835,8.735795454545455,0.03434143947251832,0.03480113636363636,0.009954142974951742,0.009943181818181818,37.0,2.176470588235294,34.0,2.0,104.0,6.117647058823529
