defteam,week,season,def_plays,expl_rush_allowed,expl_pass_allowed,expl_total_allowed,expl_rate_allowed,chunk20_allowed,chunk20_rate
LAC,3,2024,63,5,5,10,0.15873015873015872,5,0.07936507936507936
LV,3,2024,68,3,9,12,0.17647058823529413,6,0.08823529411764706
MIA,3,2024,58,5,8,13,0.22413793103448276,2,0.034482758620689655
MIN,3,2024,62,0,9,9,0.14516129032258066,2,0.03225806451612903
NE,3,2024,70,4,6,10,0.14285714285714285,4,0.05714285714285714
NO,3,2024,64,5,6,11,0.171875,8,0.125
NYG,3,2024,62,4,3,7,0.11290322580645161,3,0.04838709677419355
NYJ,3,2024,48,2,3,5,0.10416666666666667,1,0.020833333333333332
PHI,3,2024,54,1,3,4,0.07407407407407407,2,0.037037037037037035
PIT,3,2024,45,1,4,5,0.1111111111111111,1,0.022222222222222223
SEA,3,2024,56,2,4,6,0.10714285714285714,2,0.03571428571428571
SF,3,2024,55,1,5,6,0.10909090909090909,3,0.05454545454545454
TB,3,2024,63,2,4,6,0.09523809523809523,4,0.06349206349206349
TEN,3,2024,59,5,6,11,0.1864406779661017,7,0.11864406779661017
WAS,3,2024,60,6,7,13,0.21666666666666667,3,0.05
ARI,4,2024,67,5,4,9,0.13432835820895522,2,0.029850746268656716
ATL,4,2024,70,4,4,8,0.11428571428571428,1,0.014285714285714285
BAL,4,2024,57,0,4,4,0.07017543859649122,4,0.07017543859649122
BUF,4,2024,54,6,5,11,0.2037037037037037,5,0.09259259259259259
CAR,4,2024,62,5,3,8,0.12903225806451613,4,0.06451612903225806
CHI,4,2024,57,3,7,10,0.17543859649122806,2,0.03508771929824561
CIN,4,2024,69,3,4,7,0.10144927536231885,3,0.043478260869565216
CLE,4,2024,53,7,1,8,0.1509433962264151,1,0.018867924528301886
DAL,4,2024,64,0,6,6,0.09375,2,0.03125
DEN,4,2024,70,1,5,6,0.08571428571428572,5,0.07142857142857142
DET,4,2024,78,7,8,15,0.19230769230769232,7,0.08974358974358974
GB,4,2024,61,4,6,10,0.16393442622950818,4,0.06557377049180328
HOU,4,2024,57,5,4,9,0.15789473684210525,4,0.07017543859649122
IND,4,2024,67,5,6,11,0.16417910447761194,5,0.07462686567164178
JAX,4,2024,68,2,10,12,0.17647058823529413,7,0.10294117647058823
KC,4,2024,53,1,4,5,0.09433962264150944,3,0.05660377358490566
LA,4,2024,52,1,2,3,0.057692307692307696,3,0.057692307692307696
LAC,4,2024,55,2,6,8,0.14545454545454545,3,0.05454545454545454
LV,4,2024,57,1,2,3,0.05263157894736842,1,0.017543859649122806
MIA,4,2024,61,3,4,7,0.11475409836065574,2,0.03278688524590164
MIN,4,2024,74,2,10,12,0.16216216216216217,7,0.0945945945945946
NE,4,2024,59,4,6,10,0.1694915254237288,7,0.11864406779661017
NO,4,2024,51,3,5,8,0.1568627450980392,3,0.058823529411764705
NYG,4,2024,50,1,4,5,0.1,1,0.02
NYJ,4,2024,54,4,2,6,0.1111111111111111,2,0.037037037037037035
PHI,4,2024,73,4,10,14,0.1917808219178082,4,0.0547945205479452
PIT,4,2024,63,5,6,11,0.1746031746031746,5,0.07936507936507936
SEA,4,2024,48,3,6,9,0.1875,6,0.125
SF,4,2024,62,1,2,3,0.04838709677419355,2,0.03225806451612903
TB,4,2024,55,1,3,4,0.07272727272727272,3,0.05454545454545454
TEN,4,2024,54,4,2,6,0.1111111111111111,2,0.037037037037037035
WAS,4,2024,58,7,2,9,0.15517241379310345,2,0.034482758620689655
ARI,5,2024,63,5,5,10,0.15873015873015872,4,0.06349206349206349
ATL,5,2024,50,4,6,10,0.2,4,0.08
BAL,5,2024,65,2,8,10,0.15384615384615385,3,0.046153846153846156
BUF,5,2024,67,3,8,11,0.16417910447761194,2,0.029850746268656716
CAR,5,2024,66,3,9,12,0.18181818181818182,6,0.09090909090909091
CHI,5,2024,58,2,6,8,0.13793103448275862,5,0.08620689655172414
CIN,5,2024,76,3,10,13,0.17105263157894737,5,0.06578947368421052
CLE,5,2024,65,7,5,12,0.18461538461538463,8,0.12307692307692308
DAL,5,2024,57,0,5,5,0.08771929824561403,2,0.03508771929824561
DEN,5,2024,65,3,4,7,0.1076923076923077,3,0.046153846153846156
GB,5,2024,76,2,5,7,0.09210526315789473,3,0.039473684210526314
HOU,5,2024,59,7,4,11,0.1864406779661017,4,0.06779661016949153
IND,5,2024,57,2,4,6,0.10526315789473684,5,0.08771929824561403
JAX,5,2024,68,3,9,12,0.17647058823529413,7,0.10294117647058823
KC,5,2024,51,0,3,3,0.058823529411764705,2,0.0392156862745098
LA,5,2024,56,4,4,8,0.14285714285714285,3,0.05357142857142857
LV,5,2024,54,4,6,10,0.18518518518518517,5,0.09259259259259259
MIA,5,2024,54,6,4,10,0.18518518518518517,4,0.07407407407407407
MIN,5,2024,71,1,4,5,0.07042253521126761,1,0.014084507042253521
NE,5,2024,75,6,6,12,0.16,2,0.02666666666666667
NO,5,2024,77,0,8,8,0.1038961038961039,4,0.05194805194805195
NYG,5,2024,58,3,5,8,0.13793103448275862,5,0.08620689655172414
NYJ,5,2024,64,1,6,7,0.109375,6,0.09375
PIT,5,2024,75,3,7,10,0.13333333333333333,5,0.06666666666666667
SEA,5,2024,69,5,6,11,0.15942028985507245,5,0.07246376811594203
SF,5,2024,55,6,5,11,0.2,5,0.09090909090909091
TB,5,2024,79,1,14,15,0.189873417721519,8,0.10126582278481013
WAS,5,2024,59,3,4,7,0.11864406779661017,1,0.01694915254237288
ARI,6,2024,68,6,5,11,0.16176470588235295,3,0.04411764705882353
ATL,6,2024,62,4,4,8,0.12903225806451613,1,0.016129032258064516
BAL,6,2024,56,0,6,6,0.10714285714285714,5,0.08928571428571429
BUF,6,2024,59,4,8,12,0.2033898305084746,8,0.13559322033898305
CAR,6,2024,64,4,5,9,0.140625,3,0.046875
CHI,6,2024,59,2,4,6,0.1016949152542373,2,0.03389830508474576
CIN,6,2024,71,4,4,8,0.11267605633802817,0,0.0
CLE,6,2024,58,3,7,10,0.1724137931034483,5,0.08620689655172414
DAL,6,2024,64,8,10,18,0.28125,6,0.09375
DEN,6,2024,72,4,5,9,0.125,5,0.06944444444444445
DET,6,2024,65,1,6,7,0.1076923076923077,2,0.03076923076923077
GB,6,2024,55,1,4,5,0.09090909090909091,2,0.03636363636363636
HOU,6,2024,63,2,5,7,0.1111111111111111,4,0.06349206349206349
IND,6,2024,55,3,1,4,0.07272727272727272,2,0.03636363636363636
JAX,6,2024,58,7,5,12,0.20689655172413793,4,0.06896551724137931
LAC,6,2024,53,5,6,11,0.20754716981132076,6,0.11320754716981132
LV,6,2024,60,7,4,11,0.18333333333333332,4,0.06666666666666667
NE,6,2024,61,4,3,7,0.11475409836065574,6,0.09836065573770492
NO,6,2024,72,10,8,18,0.25,8,0.1111111111111111
NYG,6,2024,50,3,3,6,0.12,5,0.1
NYJ,6,2024,57,4,3,7,0.12280701754385964,2,0.03508771929824561
PHI,6,2024,53,3,2,5,0.09433962264150944,2,0.03773584905660377
PIT,6,2024,60,1,4,5,0.08333333333333333,1,0.016666666666666666
SEA,6,2024,60,4,5,9,0.15,5,0.08333333333333333
SF,6,2024,72,0,5,5,0.06944444444444445,2,0.027777777777777776
TB,6,2024,66,1,5,6,0.09090909090909091,3,0.045454545454545456
TEN,6,2024,66,2,4,6,0.09090909090909091,4,0.06060606060606061
WAS,6,2024,63,5,10,15,0.23809523809523808,7,0.1111111111111111
ARI,7,2024,63,1,8,9,0.14285714285714285,5,0.07936507936507936
ATL,7,2024,56,1,8,9,0.16071428571428573,6,0.10714285714285714
BAL,7,2024,77,3,11,14,0.18181818181818182,6,0.07792207792207792
BUF,7,2024,66,3,2,5,0.07575757575757576,2,0.030303030303030304
CAR,7,2024,61,4,8,12,0.19672131147540983,3,0.04918032786885246
CIN,7,2024,76,2,5,7,0.09210526315789473,3,0.039473684210526314
CLE,7,2024,50,3,7,10,0.2,3,0.06
DEN,7,2024,65,3,2,5,0.07692307692307693,2,0.03076923076923077
DET,7,2024,52,4,8,12,0.23076923076923078,5,0.09615384615384616
GB,7,2024,57,5,3,8,0.14035087719298245,2,0.03508771929824561
HOU,7,2024,56,3,2,5,0.08928571428571429,3,0.05357142857142857
IND,7,2024,67,6,4,10,0.14925373134328357,1,0.014925373134328358
JAX,7,2024,54,2,5,7,0.12962962962962962,3,0.05555555555555555
KC,7,2024,56,2,5,7,0.125,4,0.07142857142857142
LA,7,2024,75,3,3,6,0.08,1,0.013333333333333334
LAC,7,2024,53,8,3,11,0.20754716981132076,2,0.03773584905660377
LV,7,2024,50,3,2,5,0.1,3,0.06
MIA,7,2024,60,5,3,8,0.13333333333333333,3,0.05
MIN,7,2024,54,2,9,11,0.2037037037037037,5,0.09259259259259259
NE,7,2024,59,6,3,9,0.15254237288135594,3,0.05084745762711865
NO,7,2024,59,8,3,11,0.1864406779661017,6,0.1016949152542373
NYG,7,2024,64,7,2,9,0.140625,4,0.0625
NYJ,7,2024,66,4,7,11,0.16666666666666666,6,0.09090909090909091
PHI,7,2024,54,2,0,2,0.037037037037037035,0,0.0
PIT,7,2024,55,3,8,11,0.2,3,0.05454545454545454
SEA,7,2024,70,3,3,6,0.08571428571428572,4,0.05714285714285714
SF,7,2024,66,4,4,8,0.12121212121212122,5,0.07575757575757576
TB,7,2024,54,7,6,13,0.24074074074074073,6,0.1111111111111111
TEN,7,2024,54,3,8,11,0.2037037037037037,6,0.1111111111111111
WAS,7,2024,42,1,3,4,0.09523809523809523,2,0.047619047619047616
ARI,8,2024,64,5,5,10,0.15625,3,0.046875
ATL,8,2024,70,3,6,9,0.12857142857142856,3,0.04285714285714286
BAL,8,2024,66,1,10,11,0.16666666666666666,5,0.07575757575757576
BUF,8,2024,46,2,4,6,0.13043478260869565,1,0.021739130434782608
CAR,8,2024,71,1,9,10,0.14084507042253522,4,0.056338028169014086
CHI,8,2024,72,4,6,10,0.1388888888888889,6,0.08333333333333333
CIN,8,2024,59,5,7,12,0.2033898305084746,4,0.06779661016949153
CLE,8,2024,60,4,6,10,0.16666666666666666,8,0.13333333333333333
DAL,8,2024,63,6,6,12,0.19047619047619047,5,0.07936507936507936
DEN,8,2024,60,1,4,5,0.08333333333333333,3,0.05
DET,8,2024,71,5,6,11,0.15492957746478872,4,0.056338028169014086
GB,8,2024,56,3,10,13,0.23214285714285715,8,0.14285714285714285
HOU,8,2024,61,8,3,11,0.18032786885245902,4,0.06557377049180328
IND,8,2024,68,5,7,12,0.17647058823529413,3,0.04411764705882353
JAX,8,2024,64,3,5,8,0.125,6,0.09375
KC,8,2024,53,0,3,3,0.05660377358490566,1,0.018867924528301886
LA,8,2024,49,0,6,6,0.12244897959183673,3,0.061224489795918366
LAC,8,2024,68,3,8,11,0.16176470588235295,7,0.10294117647058823
LV,8,2024,64,1,6,7,0.109375,2,0.03125
MIA,8,2024,61,3,9,12,0.19672131147540983,4,0.06557377049180328
MIN,8,2024,63,4,8,12,0.19047619047619047,3,0.047619047619047616
NE,8,2024,57,2,8,10,0.17543859649122806,5,0.08771929824561403
NO,8,2024,63,2,8,10,0.15873015873015872,5,0.07936507936507936
NYG,8,2024,61,6,4,10,0.16393442622950818,5,0.08196721311475409
NYJ,8,2024,63,4,1,5,0.07936507936507936,1,0.015873015873015872
PHI,8,2024,57,0,3,3,0.05263157894736842,3,0.05263157894736842
PIT,8,2024,67,4,6,10,0.14925373134328357,5,0.07462686567164178
SEA,8,2024,66,5,7,12,0.18181818181818182,5,0.07575757575757576
SF,8,2024,58,2,7,9,0.15517241379310345,4,0.06896551724137931
TB,8,2024,60,3,5,8,0.13333333333333333,5,0.08333333333333333
TEN,8,2024,47,2,1,3,0.06382978723404255,2,0.0425531914893617
WAS,8,2024,60,4,5,9,0.15,4,0.06666666666666667
ARI,9,2024,69,2,5,7,0.10144927536231885,1,0.014492753623188406
ATL,9,2024,73,5,4,9,0.1232876712328767,3,0.0410958904109589
BAL,9,2024,67,3,6,9,0.13432835820895522,5,0.07462686567164178
BUF,9,2024,59,4,7,11,0.1864406779661017,2,0.03389830508474576
CAR,9,2024,74,4,9,13,0.17567567567567569,4,0.05405405405405406
CHI,9,2024,57,5,5,10,0.17543859649122806,3,0.05263157894736842
CIN,9,2024,59,0,6,6,0.1016949152542373,4,0.06779661016949153
CLE,9,2024,54,3,8,11,0.2037037037037037,7,0.12962962962962962
DAL,9,2024,53,2,5,7,0.1320754716981132,3,0.05660377358490566
DEN,9,2024,53,3,9,12,0.22641509433962265,7,0.1320754716981132
DET,9,2024,62,4,5,9,0.14516129032258066,4,0.06451612903225806
GB,9,2024,52,4,2,6,0.11538461538461539,1,0.019230769230769232
HOU,9,2024,54,4,4,8,0.14814814814814814,3,0.05555555555555555
IND,9,2024,70,6,8,14,0.2,7,0.1
JAX,9,2024,70,8,6,14,0.2,7,0.1
KC,9,2024,52,2,4,6,0.11538461538461539,0,0.0
LA,9,2024,73,2,11,13,0.1780821917808219,9,0.1232876712328767
LAC,9,2024,76,2,3,5,0.06578947368421052,1,0.013157894736842105
LV,9,2024,69,3,4,7,0.10144927536231885,3,0.043478260869565216
MIA,9,2024,58,3,3,6,0.10344827586206896,2,0.034482758620689655
MIN,9,2024,48,2,5,7,0.14583333333333334,2,0.041666666666666664
NE,9,2024,73,5,4,9,0.1232876712328767,4,0.0547945205479452
NO,9,2024,48,2,6,8,0.16666666666666666,3,0.0625
NYG,9,2024,57,3,6,9,0.15789473684210525,5,0.08771929824561403
NYJ,9,2024,74,5,4,9,0.12162162162162163,5,0.06756756756756757
PHI,9,2024,50,2,5,7,0.14,2,0.04
SEA,9,2024,68,0,8,8,0.11764705882352941,5,0.07352941176470588
TB,9,2024,83,3,6,9,0.10843373493975904,2,0.024096385542168676
TEN,9,2024,64,5,1,6,0.09375,3,0.046875
WAS,9,2024,59,7,5,12,0.2033898305084746,3,0.05084745762711865
ARI,10,2024,55,2,1,3,0.05454545454545454,0,0.0
ATL,10,2024,51,2,6,8,0.1568627450980392,5,0.09803921568627451
BAL,10,2024,75,0,9,9,0.12,4,0.05333333333333334
BUF,10,2024,61,3,6,9,0.14754098360655737,5,0.08196721311475409
CAR,10,2024,71,5,3,8,0.11267605633802817,2,0.028169014084507043
CHI,10,2024,60,3,5,8,0.13333333333333333,3,0.05
CIN,10,2024,57,2,6,8,0.14035087719298245,2,0.03508771929824561
DAL,10,2024,64,5,4,9,0.140625,4,0.0625
DEN,10,2024,65,2,5,7,0.1076923076923077,4,0.06153846153846154
DET,10,2024,65,1,7,8,0.12307692307692308,3,0.046153846153846156
HOU,10,2024,62,4,7,11,0.1774193548387097,6,0.0967741935483871
IND,10,2024,69,4,7,11,0.15942028985507245,5,0.07246376811594203
JAX,10,2024,80,4,4,8,0.1,3,0.0375
KC,10,2024,55,2,3,5,0.09090909090909091,3,0.05454545454545454
LA,10,2024,52,2,5,7,0.1346153846153846,3,0.057692307692307696
LAC,10,2024,51,4,5,9,0.17647058823529413,1,0.0196078431372549
MIA,10,2024,67,0,7,7,0.1044776119402985,2,0.029850746268656716
MIN,10,2024,43,2,3,5,0.11627906976744186,1,0.023255813953488372
NE,10,2024,59,1,1,2,0.03389830508474576,0,0.0
NO,10,2024,73,2,10,12,0.1643835616438356,7,0.0958904109589041
NYG,10,2024,58,5,2,7,0.1206896551724138,6,0.10344827586206896
NYJ,10,2024,56,6,7,13,0.23214285714285715,2,0.03571428571428571
PHI,10,2024,56,2,0,2,0.03571428571428571,0,0.0
PIT,10,2024,59,1,4,5,0.0847457627118644,3,0.05084745762711865
SF,10,2024,58,3,1,4,0.06896551724137931,0,0.0
TB,10,2024,59,3,6,9,0.15254237288135594,5,0.0847457627118644
TEN,10,2024,55,5,5,10,0.18181818181818182,2,0.03636363636363636
WAS,10,2024,72,3,5,8,0.1111111111111111,4,0.05555555555555555
ATL,11,2024,60,3,6,9,0.15,4,0.06666666666666667
BAL,11,2024,72,3,5,8,0.1111111111111111,3,0.041666666666666664
BUF,11,2024,52,1,2,3,0.057692307692307696,1,0.019230769230769232
CHI,11,2024,42,4,8,12,0.2857142857142857,5,0.11904761904761904
CIN,11,2024,62,4,10,14,0.22580645161290322,11,0.1774193548387097
CLE,11,2024,56,6,7,13,0.23214285714285715,5,0.08928571428571429
DAL,11,2024,60,3,4,7,0.11666666666666667,5,0.08333333333333333
DEN,11,2024,55,0,7,7,0.12727272727272726,2,0.03636363636363636
DET,11,2024,47,0,3,3,0.06382978723404255,3,0.06382978723404255
GB,11,2024,68,5,5,10,0.14705882352941177,3,0.04411764705882353
HOU,11,2024,79,1,7,8,0.10126582278481013,3,0.0379746835443038
IND,11,2024,52,2,5,7,0.1346153846153846,3,0.057692307692307696
JAX,11,2024,74,4,11,15,0.20270270270270271,11,0.14864864864864866
KC,11,2024,69,1,8,9,0.13043478260869565,6,0.08695652173913043
LA,11,2024,72,3,6,9,0.125,2,0.027777777777777776
LAC,11,2024,78,3,8,11,0.14102564102564102,8,0.10256410256410256
LV,11,2024,63,1,7,8,0.12698412698412698,3,0.047619047619047616
MIA,11,2024,62,1,3,4,0.06451612903225806,4,0.06451612903225806
MIN,11,2024,55,1,7,8,0.14545454545454545,4,0.07272727272727272
NE,11,2024,48,3,7,10,0.20833333333333334,5,0.10416666666666667
NO,11,2024,69,1,8,9,0.13043478260869565,5,0.07246376811594203
NYJ,11,2024,67,1,9,10,0.14925373134328357,4,0.05970149253731343
PHI,11,2024,63,1,4,5,0.07936507936507936,2,0.031746031746031744
PIT,11,2024,53,3,6,9,0.16981132075471697,5,0.09433962264150944
SEA,11,2024,57,4,1,5,0.08771929824561403,1,0.017543859649122806
SF,11,2024,59,3,5,8,0.13559322033898305,2,0.03389830508474576
TEN,11,2024,66,1,6,7,0.10606060606060606,4,0.06060606060606061
WAS,11,2024,69,4,6,10,0.14492753623188406,6,0.08695652173913043
ARI,12,2024,59,2,6,8,0.13559322033898305,3,0.05084745762711865
BAL,12,2024,60,3,6,9,0.15,0,0.0
CAR,12,2024,68,5,5,10,0.14705882352941177,3,0.04411764705882353
CHI,12,2024,65,4,6,10,0.15384615384615385,7,0.1076923076923077
CLE,12,2024,67,4,6,10,0.14925373134328357,6,0.08955223880597014
DAL,12,2024,66,5,3,8,0.12121212121212122,3,0.045454545454545456
DEN,12,2024,73,2,7,9,0.1232876712328767,3,0.0410958904109589
DET,12,2024,48,4,4,8,0.16666666666666666,4,0.08333333333333333
GB,12,2024,46,1,5,6,0.13043478260869565,5,0.10869565217391304
HOU,12,2024,64,5,5,10,0.15625,4,0.0625
IND,12,2024,71,4,7,11,0.15492957746478872,2,0.028169014084507043
KC,12,2024,58,2,6,8,0.13793103448275862,4,0.06896551724137931
LA,12,2024,66,5,5,10,0.15151515151515152,5,0.07575757575757576
LAC,12,2024,58,6,5,11,0.1896551724137931,5,0.08620689655172414
LV,12,2024,65,2,8,10,0.15384615384615385,4,0.06153846153846154
MIA,12,2024,62,2,4,6,0.0967741935483871,3,0.04838709677419355
MIN,12,2024,72,2,6,8,0.1111111111111111,6,0.08333333333333333
NE,12,2024,63,2,7,9,0.14285714285714285,4,0.06349206349206349
NYG,12,2024,62,3,7,10,0.16129032258064516,6,0.0967741935483871
PHI,12,2024,59,4,4,8,0.13559322033898305,3,0.05084745762711865
PIT,12,2024,55,0,7,7,0.12727272727272726,3,0.05454545454545454
SEA,12,2024,56,1,6,7,0.125,4,0.07142857142857142
SF,12,2024,67,4,5,9,0.13432835820895522,2,0.029850746268656716
TB,12,2024,55,2,3,5,0.09090909090909091,2,0.03636363636363636
TEN,12,2024,54,0,8,8,0.14814814814814814,3,0.05555555555555555
WAS,12,2024,61,0,5,5,0.08196721311475409,3,0.04918032786885246
ARI,13,2024,50,2,7,9,0.18,3,0.06
ATL,13,2024,43,2,2,4,0.09302325581395349,2,0.046511627906976744
BAL,13,2024,52,4,3,7,0.1346153846153846,1,0.019230769230769232
BUF,13,2024,46,7,2,9,0.1956521739130435,2,0.043478260869565216
CAR,13,2024,76,7,7,14,0.18421052631578946,6,0.07894736842105263
CHI,13,2024,69,7,5,12,0.17391304347826086,3,0.043478260869565216
CIN,13,2024,64,3,12,15,0.234375,10,0.15625
CLE,13,2024,59,3,8,11,0.1864406779661017,3,0.05084745762711865
DAL,13,2024,59,2,5,7,0.11864406779661017,2,0.03389830508474576
DEN,13,2024,84,2,11,13,0.15476190476190477,6,0.07142857142857142
DET,13,2024,58,3,6,9,0.15517241379310345,4,0.06896551724137931
GB,13,2024,65,2,6,8,0.12307692307692308,2,0.03076923076923077
HOU,13,2024,67,2,7,9,0.13432835820895522,4,0.05970149253731343
IND,13,2024,65,6,4,10,0.15384615384615385,3,0.046153846153846156
JAX,13,2024,58,4,6,10,0.1724137931034483,5,0.08620689655172414
KC,13,2024,62,4,7,11,0.1774193548387097,7,0.11290322580645161
LA,13,2024,68,4,5,9,0.1323529411764706,3,0.04411764705882353
LAC,13,2024,77,2,3,5,0.06493506493506493,2,0.025974025974025976
LV,13,2024,65,1,8,9,0.13846153846153847,6,0.09230769230769231
MIA,13,2024,53,4,7,11,0.20754716981132076,4,0.07547169811320754
MIN,13,2024,76,5,4,9,0.11842105263157894,1,0.013157894736842105
NE,13,2024,57,3,1,4,0.07017543859649122,1,0.017543859649122806
NO,13,2024,53,6,5,11,0.20754716981132076,2,0.03773584905660377
NYG,13,2024,66,4,5,9,0.13636363636363635,4,0.06060606060606061
NYJ,13,2024,56,3,5,8,0.14285714285714285,5,0.08928571428571429
PHI,13,2024,71,5,5,10,0.14084507042253522,4,0.056338028169014086
PIT,13,2024,57,3,8,11,0.19298245614035087,5,0.08771929824561403
SEA,13,2024,61,2,4,6,0.09836065573770492,2,0.03278688524590164
SF,13,2024,53,5,3,8,0.1509433962264151,2,0.03773584905660377
TB,13,2024,68,1,7,8,0.11764705882352941,3,0.04411764705882353
