week,team,st_plays,st_epa,st_epa_per_play,ko_plays,ko_tb_rate,ko_opp_start_yd100,punt_plays,punt_opp_start_yd100,ret_plays,ret_epa,ret_epa_against,fg_att,fg_made,fg_pct,fg_epa_per_att,xp_att,xp_made,xp_pct,xp_epa_per_att,st_pen_rate
11,WAS,13,2.3874141530996003,0.1836472425461231,6,0.6666666666666666,70.0,5,64.4,0,0.0,0.0,1,0,0.0,2.3874141530996003,1,0,0.0,2.3874141530996003,0.0
12,ARI,13,0.976827667663331,0.07514058982025623,4,0.25,69.75,6,69.66666666666667,0,0.0,0.0,3,0,0.0,0.32560922255444363,0,0,0.0,0.0,0.0
12,BAL,12,3.329370204797698,0.2774475170664748,5,0.8,67.2,3,76.66666666666667,0,0.0,0.0,1,0,0.0,3.329370204797698,3,0,0.0,1.1097900682658992,0.0
12,CAR,13,4.218787817135588,0.32452213977966066,6,1.0,70.0,2,73.5,0,0.0,0.0,4,0,0.0,1.054696954283897,1,0,0.0,4.218787817135588,0.07692307692307693
12,CHI,17,1.4383731140500964,0.08461018317941743,7,0.8571428571428571,68.57142857142857,6,67.66666666666667,0,0.0,0.0,3,0,0.0,0.47945770468336546,1,0,0.0,1.4383731140500964,0.058823529411764705
12,CLE,10,-1.225862190291342,-0.1225862190291342,5,0.4,69.6,3,45.666666666666664,0,0.0,0.0,1,0,0.0,-1.225862190291342,1,0,0.0,-1.225862190291342,0.1
12,DAL,20,4.852567431812609,0.24262837159063047,6,0.0,71.66666666666667,6,67.0,0,0.0,0.0,4,0,0.0,1.2131418579531523,4,0,0.0,1.2131418579531523,0.0
12,DEN,16,6.28106710830121,0.3925666942688256,5,1.0,70.0,4,60.75,0,0.0,0.0,5,0,0.0,1.256213421660242,2,0,0.0,3.140533554150605,0.0
12,DET,11,3.7748511397718576,0.34316828543380523,3,1.0,70.0,4,61.25,0,0.0,0.0,1,0,0.0,3.7748511397718576,3,0,0.0,1.258283713257286,0.0
12,GB,13,4.70630464661875,0.36202343435528844,3,0.6666666666666666,69.0,4,60.0,0,0.0,0.0,1,0,0.0,4.70630464661875,5,0,0.0,0.9412609293237499,0.15384615384615385
12,HOU,17,8.496644226302688,0.49980260154721695,6,0.3333333333333333,75.5,5,64.8,0,0.0,0.0,3,0,0.0,2.8322147421008963,3,0,0.0,2.8322147421008963,0.11764705882352941
12,IND,13,1.9018336649415004,0.14629489730319234,5,0.8,71.2,6,73.5,0,0.0,0.0,2,0,0.0,0.9509168324707502,0,0,0.0,0.0,0.07692307692307693
12,KC,14,3.4140884847720177,0.24386346319800126,6,0.3333333333333333,70.5,2,72.0,0,0.0,0.0,3,0,0.0,1.138029494924006,3,0,0.0,1.138029494924006,0.07142857142857142
12,LA,15,-2.844467547089354,-0.18963116980595693,8,0.75,69.5,4,67.75,0,0.0,0.0,1,0,0.0,-2.844467547089354,2,0,0.0,-1.422233773544677,0.0
12,LAC,15,6.117682619113535,0.40784550794090235,6,0.8333333333333334,70.0,4,60.0,0,0.0,0.0,3,0,0.0,2.0392275397045116,2,0,0.0,3.0588413095567675,0.06666666666666667
