season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive
2024,2,DAL,12,1,4,1,2,353.0,87,4,67.67,19,,5,0.42,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,29.42,7.25,0.3333333333333333,1.5833333333333333,1.58,off,32.33,-17.21
2024,2,DEN,16,1,2,8,0,251.0,82,5,63.25,13,,3,0.19,0.0625,0.125,0.0,0.5,15.69,5.12,0.3125,0.8125,0.81,def,36.75,-10.9
2024,2,DEN,13,0,2,6,2,295.0,77,3,74.15,6,,2,0.15,0.0,0.15384615384615385,0.15384615384615385,0.46153846153846156,22.69,5.92,0.23076923076923078,0.46153846153846156,0.46,off,25.85,-10.9
2024,2,DET,14,2,2,5,1,216.0,64,3,72.21,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,15.43,4.57,0.21428571428571427,1.4285714285714286,1.43,def,27.79,19.98
2024,2,DET,17,1,3,2,2,463.0,100,9,52.24,16,,4,0.24,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,27.24,5.88,0.5294117647058824,0.9411764705882353,0.94,off,47.76,19.98
2024,2,GB,10,1,1,3,3,338.0,69,2,76.6,10,,2,0.2,0.1,0.1,0.3,0.3,33.8,6.9,0.2,1.0,1.0,def,23.4,19.6
2024,2,GB,15,1,3,3,1,383.0,84,4,57.0,16,,4,0.27,0.06666666666666667,0.2,0.06666666666666667,0.2,25.53,5.6,0.26666666666666666,1.0666666666666667,1.07,off,43.0,19.6
2024,2,HOU,15,1,2,6,3,205.0,90,1,68.4,13,,3,0.2,0.06666666666666667,0.13333333333333333,0.2,0.4,13.67,6.0,0.06666666666666667,0.8666666666666667,0.87,def,31.6,7.03
2024,2,HOU,16,1,4,6,1,310.0,83,3,61.38,19,,5,0.31,0.0625,0.25,0.0625,0.375,19.38,5.19,0.1875,1.1875,1.19,off,38.62,7.03
2024,2,IND,15,1,3,3,1,383.0,84,4,57.0,16,,4,0.27,0.06666666666666667,0.2,0.06666666666666667,0.2,25.53,5.6,0.26666666666666666,1.0666666666666667,1.07,def,43.0,-19.6
2024,2,IND,10,1,1,3,3,338.0,69,2,76.6,10,,2,0.2,0.1,0.1,0.3,0.3,33.8,6.9,0.2,1.0,1.0,off,23.4,-19.6
