season,week,team,side,plays,successes,sr,epa_per_play
2024,2,PIT,def,24,12,0.5,0.09188152360608608
2024,2,PIT,off,24,7,0.291667,-0.18800358410347448
2024,2,SEA,def,28,13,0.464286,0.03513729459103031
2024,2,SEA,off,26,14,0.538462,-0.17524114166305102
2024,2,SF,def,23,13,0.565217,-0.3124527319362286
2024,2,SF,off,30,16,0.533333,0.04721430747498137
2024,2,TB,def,33,19,0.575758,-0.10214300294209158
2024,2,TB,off,22,11,0.5,0.28030566933871753
2024,2,TEN,def,23,11,0.478261,-0.03383755526738241
2024,2,TEN,off,26,10,0.384615,-0.12948502621237332
2024,2,WAS,def,22,10,0.454545,-0.05823139106558466
2024,2,WAS,off,29,14,0.482759,-0.10982804399200491
2024,3,ARI,def,30,19,0.633333,0.24291264837859974
2024,3,ARI,off,26,14,0.538462,0.17090714421087447
2024,3,ATL,def,29,18,0.62069,0.11594578592660676
2024,3,ATL,off,24,11,0.458333,-0.118641111850593
2024,3,BAL,def,33,13,0.393939,-0.18895371298827796
2024,3,BAL,off,29,18,0.62069,0.29333151389788514
2024,3,BUF,def,27,12,0.444444,-0.1580983150828009
2024,3,BUF,off,27,13,0.481481,0.12873256605019345
2024,3,CAR,def,27,14,0.518519,-0.11653550890063073
2024,3,CAR,off,31,17,0.548387,0.11136583464160081
2024,3,CHI,def,23,11,0.478261,-0.0023197359582611725
2024,3,CHI,off,34,15,0.441176,-0.28719914624012105
2024,3,CIN,def,23,10,0.434783,0.05366542272689833
2024,3,CIN,off,32,20,0.625,0.3305944032372281
2024,3,CLE,def,31,18,0.580645,0.24029487108571396
2024,3,CLE,off,27,11,0.407407,-0.33740988173478936
2024,3,DAL,def,29,18,0.62069,0.29333151389788514
2024,3,DAL,off,33,13,0.393939,-0.18895371298827796
2024,3,DEN,def,24,14,0.583333,0.04339562382422931
2024,3,DEN,off,26,17,0.653846,0.03215067132931346
2024,3,DET,def,26,14,0.538462,0.17090714421087447
2024,3,DET,off,30,19,0.633333,0.24291264837859974
2024,3,GB,def,26,14,0.538462,-0.29363978936005597
2024,3,GB,off,25,14,0.56,0.0538615377061069
2024,3,HOU,def,24,12,0.5,0.063233722774991
2024,3,HOU,off,26,11,0.423077,-0.26791610003252014
2024,3,IND,def,34,15,0.441176,-0.28719914624012105
2024,3,IND,off,23,11,0.478261,-0.0023197359582611725
2024,3,JAX,def,27,13,0.481481,0.12873256605019345
2024,3,JAX,off,27,12,0.444444,-0.1580983150828009
2024,3,KC,def,24,11,0.458333,-0.118641111850593
2024,3,KC,off,29,18,0.62069,0.11594578592660676
2024,3,LA,def,30,18,0.6,0.09858048988486795
2024,3,LA,off,24,15,0.625,0.06001580515368876
2024,3,LAC,def,26,10,0.384615,-0.45720382331637666
2024,3,LAC,off,19,7,0.368421,-0.18990678254416898
2024,3,LV,def,31,17,0.548387,0.11136583464160081
2024,3,LV,off,27,14,0.518519,-0.11653550890063073
2024,3,MIA,def,29,16,0.551724,0.2835898943464191
2024,3,MIA,off,26,16,0.615385,0.2133158217307377
2024,3,MIN,def,26,11,0.423077,-0.26791610003252014
2024,3,MIN,off,24,12,0.5,0.063233722774991
2024,3,NE,def,31,19,0.612903,0.041139588966372334
2024,3,NE,off,20,7,0.35,-0.6148452767025446
2024,3,NO,def,27,16,0.592593,0.24845361262365864
2024,3,NO,off,20,7,0.35,-0.5032376317481976
2024,3,NYG,def,27,11,0.407407,-0.33740988173478936
2024,3,NYG,off,31,18,0.580645,0.24029487108571396
2024,3,NYJ,def,20,7,0.35,-0.6148452767025446
2024,3,NYJ,off,31,19,0.612903,0.041139588966372334
2024,3,PHI,def,20,7,0.35,-0.5032376317481976
2024,3,PHI,off,27,16,0.592593,0.24845361262365864
2024,3,PIT,def,19,7,0.368421,-0.18990678254416898
2024,3,PIT,off,26,10,0.384615,-0.45720382331637666
2024,3,SEA,def,26,16,0.615385,0.2133158217307377
2024,3,SEA,off,29,16,0.551724,0.2835898943464191
2024,3,SF,def,24,15,0.625,0.06001580515368876
2024,3,SF,off,30,18,0.6,0.09858048988486795
2024,3,TB,def,26,17,0.653846,0.03215067132931346
2024,3,TB,off,24,14,0.583333,0.04339562382422931
2024,3,TEN,def,25,14,0.56,0.0538615377061069
2024,3,TEN,off,26,14,0.538462,-0.29363978936005597
2024,3,WAS,def,32,20,0.625,0.3305944032372281
2024,3,WAS,off,23,10,0.434783,0.05366542272689833
2024,4,ARI,def,30,18,0.6,0.01656291891898339
2024,4,ARI,off,25,15,0.6,-0.10241819300921634
2024,4,ATL,def,30,19,0.633333,0.13905877974175382
2024,4,ATL,off,23,11,0.478261,0.04297355637865384
2024,4,BAL,def,22,11,0.5,-0.11185087958107363
2024,4,BAL,off,27,14,0.518519,0.09249402775916409
2024,4,BUF,def,27,14,0.518519,0.09249402775916409
2024,4,BUF,off,22,11,0.5,-0.11185087958107363
2024,4,CAR,def,28,14,0.5,0.08263386252552404
2024,4,CAR,off,30,16,0.533333,0.2380295381687271
2024,4,CHI,def,28,14,0.5,-0.16948940312327718
2024,4,CHI,off,23,12,0.521739,0.06508258086978458
2024,4,CIN,def,30,16,0.533333,0.2380295381687271
2024,4,CIN,off,28,14,0.5,0.08263386252552404
2024,4,CLE,def,25,9,0.36,-0.027620954064186663
2024,4,CLE,off,23,9,0.391304,-0.2894543330514115
2024,4,DAL,def,24,12,0.5,0.02267472263095745
2024,4,DAL,off,20,14,0.7,0.24770367657474707
2024,4,DEN,def,29,13,0.448276,-0.053247340651758915
2024,4,DEN,off,22,8,0.363636,-0.1396032726042904
2024,4,DET,def,41,23,0.560976,-0.1563617080918468
2024,4,DET,off,24,14,0.583333,0.4291781973685526
2024,4,GB,def,29,18,0.62069,0.4636944853018263
2024,4,GB,off,35,17,0.485714,-0.21138926286782536
2024,4,HOU,def,26,14,0.538462,0.10198573571128342
2024,4,HOU,off,33,19,0.575758,0.10061265014743598
2024,4,IND,def,30,17,0.566667,-0.182287673165168
2024,4,IND,off,29,12,0.413793,0.06695360090414962
2024,4,JAX,def,33,19,0.575758,0.10061265014743598
2024,4,JAX,off,26,14,0.538462,0.10198573571128342
2024,4,KC,def,21,7,0.333333,-0.27570701515789897
2024,4,KC,off,23,14,0.608696,-0.3366479882287145
2024,4,LA,def,23,12,0.521739,0.06508258086978458
2024,4,LA,off,28,14,0.5,-0.16948940312327718
2024,4,LAC,def,23,14,0.608696,-0.3366479882287145
2024,4,LAC,off,21,7,0.333333,-0.27570701515789897
2024,4,LV,def,23,9,0.391304,-0.2894543330514115
2024,4,LV,off,25,9,0.36,-0.027620954064186663
2024,4,MIA,def,26,13,0.5,-0.03276547635547244
2024,4,MIA,off,24,11,0.458333,-0.11052225187692481
2024,4,MIN,def,35,17,0.485714,-0.21138926286782536
2024,4,MIN,off,29,18,0.62069,0.4636944853018263
2024,4,NE,def,26,15,0.576923,0.23963238773509288
2024,4,NE,off,23,9,0.391304,-0.36112877021229867
2024,4,NO,def,23,11,0.478261,0.04297355637865384
2024,4,NO,off,30,19,0.633333,0.13905877974175382
2024,4,NYG,def,20,14,0.7,0.24770367657474707
2024,4,NYG,off,24,12,0.5,0.02267472263095745
2024,4,NYJ,def,22,8,0.363636,-0.1396032726042904
2024,4,NYJ,off,29,13,0.448276,-0.053247340651758915
2024,4,PHI,def,35,20,0.571429,0.21277673411116535
2024,4,PHI,off,22,12,0.545455,-0.03998719339804004
2024,4,PIT,def,29,12,0.413793,0.06695360090414962
2024,4,PIT,off,30,17,0.566667,-0.182287673165168
2024,4,SEA,def,24,14,0.583333,0.4291781973685526
2024,4,SEA,off,41,23,0.560976,-0.1563617080918468
2024,4,SF,def,23,9,0.391304,-0.36112877021229867
2024,4,SF,off,26,15,0.576923,0.23963238773509288
2024,4,TB,def,22,12,0.545455,-0.03998719339804004
2024,4,TB,off,35,20,0.571429,0.21277673411116535
2024,4,TEN,def,24,11,0.458333,-0.11052225187692481
2024,4,TEN,off,26,13,0.5,-0.03276547635547244
2024,4,WAS,def,25,15,0.6,-0.10241819300921634
2024,4,WAS,off,30,18,0.6,0.01656291891898339
2024,5,ARI,def,30,13,0.433333,-0.35368205459866053
2024,5,ARI,off,26,13,0.5,0.2272134082181415
2024,5,ATL,def,26,16,0.615385,0.2198712765295148
2024,5,ATL,off,34,14,0.411765,0.01271475023446221
2024,5,BAL,def,30,16,0.533333,0.34934085404189924
2024,5,BAL,off,35,18,0.514286,0.03759076231524655
2024,5,BUF,def,29,14,0.482759,0.18350621226025102
2024,5,BUF,off,25,9,0.36,-0.10747724314569496
2024,5,CAR,def,30,18,0.6,0.08088340795560119
2024,5,CAR,off,25,14,0.56,0.25177495053553417
2024,5,CHI,def,25,14,0.56,0.25177495053553417
2024,5,CHI,off,30,18,0.6,0.08088340795560119
2024,5,CIN,def,35,18,0.514286,0.03759076231524655
2024,5,CIN,off,30,16,0.533333,0.34934085404189924
2024,5,CLE,def,26,11,0.423077,-0.2560671963337182
2024,5,CLE,off,24,12,0.5,-0.016590013105693895
2024,5,DAL,def,22,12,0.545455,-0.010651073906708254
2024,5,DAL,off,32,16,0.5,-0.09631111001817771
2024,5,DEN,def,28,8,0.285714,-0.476943222546002
2024,5,DEN,off,24,13,0.541667,-0.015058265870417623
2024,5,GB,def,30,19,0.633333,0.08500265878392384
2024,5,GB,off,26,14,0.538462,-0.041840353123216815
2024,5,HOU,def,25,9,0.36,-0.10747724314569496
2024,5,HOU,off,29,14,0.482759,0.18350621226025102
2024,5,IND,def,27,17,0.62963,0.4098284830688499
2024,5,IND,off,32,18,0.5625,0.4101776038432945
2024,5,JAX,def,32,18,0.5625,0.4101776038432945
2024,5,JAX,off,27,17,0.62963,0.4098284830688499
2024,5,KC,def,20,5,0.25,-0.352907751550083
2024,5,KC,off,34,23,0.676471,0.05651798529759296
2024,5,LA,def,26,14,0.538462,-0.041840353123216815
2024,5,LA,off,30,19,0.633333,0.08500265878392384
2024,5,LV,def,24,13,0.541667,-0.015058265870417623
2024,5,LV,off,28,8,0.285714,-0.476943222546002
2024,5,MIA,def,23,11,0.478261,0.13309920066714528
2024,5,MIA,off,35,17,0.485714,0.030314735546042876
2024,5,MIN,def,28,12,0.428571,-0.09983578068204224
2024,5,MIN,off,29,10,0.344828,-0.3292761705314002
2024,5,NE,def,35,17,0.485714,0.030314735546042876
2024,5,NE,off,23,11,0.478261,0.13309920066714528
2024,5,NO,def,34,23,0.676471,0.05651798529759296
2024,5,NO,off,20,5,0.25,-0.352907751550083
2024,5,NYG,def,26,15,0.576923,0.16649138019571252
2024,5,NYG,off,32,20,0.625,0.32323857635856257
2024,5,NYJ,def,29,10,0.344828,-0.3292761705314002
2024,5,NYJ,off,28,12,0.428571,-0.09983578068204224
2024,5,PIT,def,32,16,0.5,-0.09631111001817771
2024,5,PIT,off,22,12,0.545455,-0.010651073906708254
2024,5,SEA,def,32,20,0.625,0.32323857635856257
2024,5,SEA,off,26,15,0.576923,0.16649138019571252
2024,5,SF,def,26,13,0.5,0.2272134082181415
2024,5,SF,off,30,13,0.433333,-0.35368205459866053
2024,5,TB,def,34,14,0.411765,0.01271475023446221
2024,5,TB,off,26,16,0.615385,0.2198712765295148
2024,5,WAS,def,24,12,0.5,-0.016590013105693895
2024,5,WAS,off,26,11,0.423077,-0.2560671963337182
2024,6,ARI,def,30,16,0.533333,0.08199620303348638
2024,6,ARI,off,25,13,0.52,0.004225150253623724
2024,6,ATL,def,29,13,0.448276,-0.21216430264657588
2024,6,ATL,off,31,20,0.645161,0.2883882344336129
2024,6,BAL,def,25,14,0.56,0.10515677513358884
2024,6,BAL,off,32,19,0.59375,0.1686704136463959
2024,6,BUF,def,27,11,0.407407,0.20320610201883096
2024,6,BUF,off,26,14,0.538462,0.1688277814671612
2024,6,CAR,def,31,20,0.645161,0.2883882344336129
2024,6,CAR,off,29,13,0.448276,-0.21216430264657588
2024,6,CHI,def,24,12,0.5,-0.09618259582687945
2024,6,CHI,off,28,19,0.678571,0.4361853896698449
2024,6,CIN,def,30,19,0.633333,-0.04037410524033476
2024,6,CIN,off,21,10,0.47619,-0.33989871890905005
2024,6,CLE,def,25,15,0.6,0.2674392562592402
2024,6,CLE,off,22,9,0.409091,0.019888143151712775
2024,6,DAL,def,32,18,0.5625,0.3978161499408088
2024,6,DAL,off,26,11,0.423077,-0.32771824655355886
2024,6,DEN,def,29,12,0.413793,-0.034443874640695364
2024,6,DEN,off,24,15,0.625,-0.03135211766736271
2024,6,DET,def,26,11,0.423077,-0.32771824655355886
2024,6,DET,off,32,18,0.5625,0.3978161499408088
2024,6,GB,def,25,13,0.52,0.004225150253623724
2024,6,GB,off,30,16,0.533333,0.08199620303348638
2024,6,HOU,def,27,13,0.481481,-0.3980326577180272
2024,6,HOU,off,28,11,0.392857,0.22560587907459453
2024,6,IND,def,23,10,0.434783,-0.08722862945211565
2024,6,IND,off,29,13,0.448276,-0.07727467458482415
2024,6,JAX,def,28,19,0.678571,0.4361853896698449
2024,6,JAX,off,24,12,0.5,-0.09618259582687945
2024,6,LAC,def,24,15,0.625,-0.03135211766736271
2024,6,LAC,off,29,12,0.413793,-0.034443874640695364
2024,6,LV,def,25,9,0.36,-0.14982498364290223
2024,6,LV,off,25,12,0.48,-0.1768352477927692
2024,6,NE,def,28,11,0.392857,0.22560587907459453
2024,6,NE,off,27,13,0.481481,-0.3980326577180272
2024,6,NO,def,37,24,0.648649,0.21531615231337176
2024,6,NO,off,29,13,0.448276,-0.2574806170867242
2024,6,NYG,def,21,10,0.47619,-0.33989871890905005
2024,6,NYG,off,30,19,0.633333,-0.04037410524033476
2024,6,NYJ,def,26,14,0.538462,0.1688277814671612
2024,6,NYJ,off,27,11,0.407407,0.20320610201883096
2024,6,PHI,def,22,9,0.409091,0.019888143151712775
2024,6,PHI,off,25,15,0.6,0.2674392562592402
2024,6,PIT,def,25,12,0.48,-0.1768352477927692
2024,6,PIT,off,25,9,0.36,-0.14982498364290223
2024,6,SEA,def,27,14,0.518519,0.5752343198120663
2024,6,SEA,off,29,11,0.37931,-0.3480494466634339
2024,6,SF,def,29,11,0.37931,-0.3480494466634339
2024,6,SF,off,27,14,0.518519,0.5752343198120663
2024,6,TB,def,29,13,0.448276,-0.2574806170867242
2024,6,TB,off,37,24,0.648649,0.21531615231337176
2024,6,TEN,def,29,13,0.448276,-0.07727467458482415
2024,6,TEN,off,23,10,0.434783,-0.08722862945211565
2024,6,WAS,def,32,19,0.59375,0.1686704136463959
2024,6,WAS,off,25,14,0.56,0.10515677513358884
2024,7,ARI,def,28,14,0.5,0.060391047085951347
2024,7,ARI,off,28,15,0.535714,0.17766149613141483
2024,7,ATL,def,26,13,0.5,0.13432164987450682
2024,7,ATL,off,30,18,0.6,-0.24446357918786815
2024,7,BAL,def,33,21,0.636364,0.24622245688012548
2024,7,BAL,off,27,14,0.518519,0.53437364915886
2024,7,BUF,def,26,11,0.423077,-0.1755299694374956
2024,7,BUF,off,25,13,0.52,0.20427793373470193
2024,7,CAR,def,29,18,0.62069,0.3094640547602341
2024,7,CAR,off,18,11,0.611111,-0.029566584245508745
2024,7,CIN,def,29,12,0.413793,-0.15709834232532965
2024,7,CIN,off,22,7,0.318182,-0.06023556026577188
2024,7,CLE,def,22,7,0.318182,-0.06023556026577188
2024,7,CLE,off,29,12,0.413793,-0.15709834232532965
2024,7,DEN,def,25,12,0.48,-0.1900890862289816
2024,7,DEN,off,29,20,0.689655,0.1654919718215563
2024,7,DET,def,24,8,0.333333,-0.023049595140037127
2024,7,DET,off,25,14,0.56,0.03750189813086763
2024,7,GB,def,24,9,0.375,-0.10866187515663721
2024,7,GB,off,26,9,0.346154,-0.3222000763075462
2024,7,HOU,def,26,9,0.346154,-0.3222000763075462
2024,7,HOU,off,24,9,0.375,-0.10866187515663721
