season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,1,MIA,7,3,4,0,0,418.0,78,6,65.71,33,,7,1.0,0.4285714285714285,0.5714285714285714,0.0,0.0,59.71,11.14,0.8571428571428571,4.714285714285714,4.71,def,34.29,-1.0,65.71,0.0
2025,1,MIA,7,1,0,1,3,211.0,48,1,66.71,7,,1,0.14,0.1428571428571428,0.0,0.4285714285714285,0.1428571428571428,30.14,6.86,0.1428571428571428,1.0,1.0,off,33.29,-1.0,66.71,2.9999999999999996
2025,1,MIN,12,2,1,6,1,317.0,80,2,70.0,17,,3,0.25,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.5,26.42,6.67,0.1666666666666666,1.4166666666666667,1.42,def,30.0,0.83,70.0,0.9999999999999996
2025,1,MIN,12,4,2,7,1,254.0,64,3,69.17,34,,6,0.5,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.5833333333333334,21.17,5.33,0.25,2.833333333333333,2.83,off,30.83,0.83,69.17,0.9999999999999996
2025,1,NE,12,2,2,5,1,389.0,73,1,73.17,20,,4,0.33,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.4166666666666667,32.42,6.08,0.0833333333333333,1.6666666666666667,1.67,def,26.83,0.44,73.17,0.9999999999999996
2025,1,NE,11,1,2,6,1,336.0,84,3,72.73,13,,3,0.27,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.5454545454545454,30.55,7.64,0.2727272727272727,1.181818181818182,1.18,off,27.27,0.44,72.73,0.9999999999999999
2025,1,NO,9,2,2,4,0,276.0,75,3,71.22,20,,4,0.44,0.2222222222222222,0.2222222222222222,0.0,0.4444444444444444,30.67,8.33,0.3333333333333333,2.2222222222222223,2.22,def,28.78,1.33,71.22,0.0
2025,1,NO,9,1,2,4,1,315.0,87,5,69.89,13,,3,0.33,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,35.0,9.67,0.5555555555555556,1.4444444444444444,1.44,off,30.11,1.33,69.89,1.0
2025,1,NYG,10,3,0,5,0,432.0,77,4,74.9,21,,3,0.3,0.3,0.0,0.0,0.5,43.2,7.7,0.4,2.1,2.1,def,25.1,-3.21,74.9,0.0
2025,1,NYG,9,0,2,6,1,231.0,77,2,78.11,6,,2,0.22,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,25.67,8.56,0.2222222222222222,0.6666666666666666,0.67,off,21.89,-3.21,78.11,1.0
2025,1,NYJ,10,3,2,4,0,271.0,63,2,67.6,27,,5,0.5,0.3,0.2,0.0,0.4,27.1,6.3,0.2,2.7,2.7,def,32.4,-2.0,67.6,0.0
2025,1,NYJ,10,4,2,2,0,394.0,68,4,69.6,34,,6,0.6,0.4,0.2,0.0,0.2,39.4,6.8,0.4,3.4,3.4,off,30.4,-2.0,69.6,0.0
