season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg
2024,DET,def,231,0.3119883475275632,0.18190033459641303,0.1300880129311502,0.1253217461550795,0.26605210330700524,1.6635663809683416,1.6635663809683416,27.8587843030245,6.543278539724618,0.3360239252396115,66.05233477488379
2024,DET,off,249,0.4266782676483399,0.31689840755888227,0.10977986008945761,0.07861097546340064,0.18168557544202538,2.5476284331805488,2.5476284331805488,31.877096597168833,6.30893315872676,0.48011637485321695,61.603643072947776
2024,GB,def,256,0.24757475830747244,0.14786681613306998,0.09970794217440243,0.12454611569678649,0.2796333000409368,1.3341915394546975,1.3341915394546975,22.519992417283436,5.8222074040701495,0.3322911999898584,60.73628772543246
2024,GB,off,246,0.36789591581258246,0.23747479372479374,0.13042112208778878,0.11328786953786955,0.23551972718639386,2.0535869223369225,2.0535869223369225,28.453379876296545,6.158918165168165,0.39733191191524525,62.452602413019086
2024,HOU,def,257,0.3184376719002758,0.19856301746883465,0.11987465443144113,0.12362151160627616,0.3354973742785377,1.749565085576166,1.749565085576166,23.410535805376526,6.073254961412856,0.3024102129019026,67.30609513216855
2024,HOU,off,273,0.2894614015336681,0.13986610858046414,0.14959529295320398,0.09474992445499207,0.3072341344766797,1.4278486389228608,1.4278486389228608,23.13135096395647,5.97262473350342,0.3579532404752382,61.29648088839265
2024,IND,def,257,0.3046594166472149,0.18736275233497962,0.11729666431223525,0.10640621494291136,0.2429213638806609,1.663429259281563,1.663429259281563,24.362957528772046,5.724578921503435,0.37096004422538753,59.666059927799594
2024,IND,off,230,0.31571246899966626,0.18163005775462523,0.134082411245041,0.135213844210384,0.30391982584889154,1.6736576380174997,1.6736576380174997,25.126522079420003,6.068812132696216,0.34584595527502104,66.47354229776374
2024,JAX,def,237,0.3745812338372892,0.2275420897825742,0.14703914405471497,0.04210960608019432,0.24699030304566638,2.033912060642164,2.033912060642164,29.703867240026412,6.54444492454873,0.3917502336187457,63.79643015223511
2024,JAX,off,219,0.2667362049714991,0.1453375056316233,0.12139869933987579,0.12145281189398836,0.31479305008716774,1.3815586374409905,1.3815586374409905,23.73006919551037,5.992239623121976,0.2921189105012635,65.80125144463379
2024,KC,def,252,0.3105078255078255,0.1881497668997669,0.12235805860805862,0.08087391774891775,0.2698738761238761,1.684122544122544,1.684122544122544,26.656945554445553,6.631410256410257,0.38497377622377627,62.59541999667
2024,KC,off,277,0.314048267908562,0.18410372715519774,0.12994454075336428,0.08072714050655228,0.26388162083015027,1.6785597123464773,1.6785597123464773,23.2300810096766,5.879637629527336,0.3872857779475426,60.334506265793024
2024,LA,def,243,0.3644327121107307,0.22454819002806622,0.1398845220826645,0.09972008126032894,0.2654984076810702,1.9914908964444569,1.9914908964444569,28.687475291306562,6.691454877252092,0.38487281981864024,65.5158299045296
2024,LA,off,258,0.29357418015149805,0.16216787801845647,0.13140630213304158,0.09037781850434612,0.2784560979729629,1.52939405252832,1.52939405252832,25.026432067606503,6.0209385096463475,0.39261746889252186,61.66890492932736
2024,LAC,def,243,0.2707328165661499,0.14669998211664878,0.12403283444950113,0.1139805410638744,0.32697503114169785,1.3989983781650448,1.3989983781650448,24.837002041168706,6.155745951579285,0.28942230608897274,64.04025388192055
2024,LAC,off,257,0.32488604351349454,0.15980537708478884,0.16508066642870564,0.062360501698737,0.2985310305163246,1.6138796388796388,1.6138796388796388,22.649956334515156,5.62950562509386,0.31115360220752375,62.813713274742696
2024,LV,def,258,0.31823740415071683,0.17210892443318232,0.14612847971753454,0.06045271883461649,0.28408909050640974,1.6431479101848798,1.6431479101848798,22.24947938855697,5.596623741148873,0.34439987232056074,58.71144599496903
2024,LV,off,231,0.2880895632625736,0.14389003921875895,0.14419952404381473,0.13762271945662952,0.28791202069748784,1.4398288466627567,1.4398288466627567,22.80410778187595,6.176206295626711,0.2907161513995424,65.25303941540966
2024,MIA,def,235,0.2988174455302483,0.1451691762677922,0.15364826926245612,0.09729235585636971,0.2879162072068646,1.4771290416619136,1.4771290416619136,23.149241099154594,5.917918298541136,0.377293496584154,58.944837573038264
