season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,16,KC,11,2,2,2,2,311.0,75,4,61.63636363636363,20,,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,28.272727272727273,6.818181818181818,0.36363636363636365,1.8181818181818181,1.8181818181818181,def
2024,16,KC,14,3,2,2,1,375.0,87,6,57.214285714285715,27,,5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285,26.785714285714285,6.214285714285714,0.42857142857142855,1.9285714285714286,1.9285714285714286,off
2024,16,LA,10,1,1,0,1,321.0,79,6,52.6,10,,2,0.2,0.1,0.1,0.1,0.0,32.1,7.9,0.6,1.0,1.0,def
2024,16,LA,10,2,2,2,1,242.0,64,5,53.9,20,,4,0.4,0.2,0.2,0.1,0.2,24.2,6.4,0.5,2.0,2.0,off
2024,16,LAC,12,3,2,5,0,355.0,83,3,67.83333333333333,27,,5,0.4166666666666667,0.25,0.16666666666666666,0.0,0.4166666666666667,29.583333333333332,6.916666666666667,0.25,2.25,2.25,def
2024,16,LAC,15,4,2,3,1,382.0,81,5,63.333333333333336,34,,6,0.4,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,25.466666666666665,5.4,0.3333333333333333,2.2666666666666666,2.2666666666666666,off
2024,16,LV,14,2,0,7,2,308.0,81,2,71.85714285714286,14,,2,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.5,22.0,5.785714285714286,0.14285714285714285,1.0,1.0,def
2024,16,LV,16,2,2,6,0,314.0,92,3,64.46666666666667,20,,4,0.25,0.125,0.125,0.0,0.375,19.625,5.75,0.1875,1.25,1.25,off
2024,16,MIA,14,2,1,4,1,374.0,85,7,54.785714285714285,17,,3,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.2857142857142857,26.714285714285715,6.071428571428571,0.5,1.2142857142857142,1.2142857142857142,def
2024,16,MIA,13,2,5,2,0,381.0,81,4,65.84615384615384,29,,7,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.0,0.15384615384615385,29.307692307692307,6.230769230769231,0.3076923076923077,2.230769230769231,2.230769230769231,off
2024,16,MIN,15,3,1,5,2,361.0,87,3,71.2,24,,4,0.26666666666666666,0.2,0.06666666666666667,0.13333333333333333,0.3333333333333333,24.066666666666666,5.8,0.2,1.6,1.6,def
2024,16,MIN,16,3,2,6,0,298.0,84,3,63.1875,27,,5,0.3125,0.1875,0.125,0.0,0.375,18.625,5.25,0.1875,1.6875,1.6875,off
2024,16,NE,16,2,1,4,1,324.0,75,3,56.13333333333333,17,,3,0.1875,0.125,0.0625,0.0625,0.25,20.25,4.6875,0.1875,1.0625,1.0625,def
2024,16,NE,13,4,0,3,3,379.0,91,5,69.61538461538461,28,,4,0.3076923076923077,0.3076923076923077,0.0,0.23076923076923078,0.23076923076923078,29.153846153846153,7.0,0.38461538461538464,2.1538461538461537,2.1538461538461537,off
2024,16,NO,11,4,2,2,0,404.0,85,4,62.54545454545455,34,,6,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.0,0.18181818181818182,36.72727272727273,7.7272727272727275,0.36363636363636365,3.090909090909091,3.090909090909091,def
2024,16,NO,12,0,0,4,2,196.0,70,0,63.75,0,,0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,16.333333333333332,5.833333333333333,0.0,0.0,0.0,off
2024,16,NYG,16,2,2,2,1,329.0,81,9,46.375,20,,4,0.25,0.125,0.125,0.0625,0.125,20.5625,5.0625,0.5625,1.25,1.25,def
2024,16,NYG,13,3,0,5,3,234.0,78,3,61.69230769230769,21,,3,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.38461538461538464,18.0,6.0,0.23076923076923078,1.6153846153846154,1.6153846153846154,off
2024,16,NYJ,10,2,2,2,1,242.0,64,5,53.9,20,,4,0.4,0.2,0.2,0.1,0.2,24.2,6.4,0.5,2.0,2.0,def
2024,16,NYJ,10,1,1,0,1,321.0,79,6,52.6,10,,2,0.2,0.1,0.1,0.1,0.0,32.1,7.9,0.6,1.0,1.0,off
2024,16,PHI,15,5,0,2,5,370.0,85,7,61.0,35,,5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.13333333333333333,24.666666666666668,5.666666666666667,0.4666666666666667,2.3333333333333335,2.3333333333333335,def
2024,16,PHI,19,3,4,4,3,338.0,93,6,54.63157894736842,33,,7,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.21052631578947367,17.789473684210527,4.894736842105263,0.3157894736842105,1.736842105263158,1.736842105263158,off
2024,16,PIT,11,3,2,3,1,418.0,78,6,68.0,27,,5,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,38.0,7.090909090909091,0.5454545454545454,2.4545454545454546,2.4545454545454546,def
2024,16,PIT,13,3,1,5,3,315.0,78,2,68.92307692307692,24,,4,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.38461538461538464,24.23076923076923,6.0,0.15384615384615385,1.8461538461538463,1.8461538461538463,off
2024,16,SEA,16,3,2,6,0,298.0,84,3,63.1875,27,,5,0.3125,0.1875,0.125,0.0,0.375,18.625,5.25,0.1875,1.6875,1.6875,def
2024,16,SEA,15,3,1,5,2,361.0,87,3,71.2,24,,4,0.26666666666666666,0.2,0.06666666666666667,0.13333333333333333,0.3333333333333333,24.066666666666666,5.8,0.2,1.6,1.6,off
